ref_month,dt,release,time_et,actual,consensus_median,surprise_sd,ff_futures_delta_bp,path_2y_bp,source_actual,status
2021-11,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-12,,CPI,08:30,0.71,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-12,,CPICORE,08:30,0.64,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-12,2021-12-15,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-01,,CPI,08:30,0.62,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-01,,CPICORE,08:30,0.55,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-01,2022-01-26,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2022-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-02,,CPI,08:30,0.7,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-02,,CPICORE,08:30,0.51,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-03,,CPI,08:30,1.03,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-03,,CPICORE,08:30,0.27,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-03,2022-03-16,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2022-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-04,,CPI,08:30,0.39,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-04,,CPICORE,08:30,0.49,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-05,,CPI,08:30,0.94,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-05,,CPICORE,08:30,0.54,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-05,2022-05-04,FOMC,14:00,50,,,,,hardcoded_record,dt_final
2022-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-06,,CPI,08:30,1.3,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-06,,CPICORE,08:30,0.67,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-06,2022-06-15,FOMC,14:00,75,,,,,hardcoded_record,dt_final
2022-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-07,,CPI,08:30,-0.04,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-07,,CPICORE,08:30,0.36,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-07,2022-07-27,FOMC,14:00,75,,,,,hardcoded_record,dt_final
2022-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-08,,CPI,08:30,0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-08,,CPICORE,08:30,0.51,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-09,,CPI,08:30,0.43,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-09,,CPICORE,08:30,0.57,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-09,2022-09-21,FOMC,14:00,75,,,,,hardcoded_record,dt_final
2022-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
