ref_month,dt,release,time_et,actual,consensus_median,surprise_sd,ff_futures_delta_bp,path_2y_bp,source_actual,status
2025-08,,CPICORE,08:30,0.35,,,,,bls_pkg_2.0.10_revised,needs_dt
2025-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2025-09,,CPI,08:30,0.31,,,,,bls_pkg_2.0.10_revised,needs_dt
2025-09,,CPICORE,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2025-09,2025-09-17,FOMC,14:00,-25,,,,,hardcoded_record,dt_final
2025-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2025-10,,CPI,08:30,,,,,,,shutdown_anomaly;needs_review
2025-10,,CPICORE,08:30,,,,,,,shutdown_anomaly;needs_review
2025-10,2025-10-29,FOMC,14:00,-25,,,,,hardcoded_record,dt_final
2025-10,,NFP,08:30,,,,,,,shutdown_anomaly;needs_review
2025-11,,CPI,08:30,,,,,,,shutdown_anomaly;needs_review
2025-11,,CPICORE,08:30,,,,,,,shutdown_anomaly;needs_review
2025-11,,NFP,08:30,,,,,,,shutdown_anomaly;needs_review
2025-12,,CPI,08:30,0.31,,,,,bls_pkg_2.0.10_revised,needs_dt
2025-12,,CPICORE,08:30,0.24,,,,,bls_pkg_2.0.10_revised,needs_dt
2025-12,2025-12-10,FOMC,14:00,-25,,,,,hardcoded_record,dt_final
2025-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-01,2026-02-13,CPI,08:30,0.2,,,,,websearch_snippet_UNVERIFIED,dt_final;verify_actual
2026-01,2026-02-13,CPICORE,08:30,,,,,,,dt_final;verify_actual
2026-01,2026-01-28,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-02,,CPI,08:30,,,,,,,needs_dt;needs_actual
2026-02,,CPICORE,08:30,,,,,,,needs_dt;needs_actual
2026-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-03,,CPI,08:30,,,,,,,needs_dt;needs_actual
2026-03,,CPICORE,08:30,,,,,,,needs_dt;needs_actual
2026-03,2026-03-18,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-04,2026-05-12,CPI,08:30,0.6,,,,,websearch_snippet_UNVERIFIED,dt_final;verify_actual
2026-04,2026-05-12,CPICORE,08:30,,,,,,,dt_final;verify_actual
2026-04,2026-04-29,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-05,2026-06-10,CPI,08:30,0.5,,,,,websearch_snippet_UNVERIFIED,dt_final;verify_actual
2026-05,2026-06-10,CPICORE,08:30,,,,,,,dt_final;verify_actual
2026-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-06,2026-07-14,CPI,08:30,-0.4,,,,,websearch_snippet_UNVERIFIED,dt_final;verify_actual
2026-06,2026-07-14,CPICORE,08:30,0.0,,,,,websearch_snippet_UNVERIFIED,dt_final;verify_actual
2026-06,2026-06-17,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-07,,CPI,08:30,,,,,,,needs_dt;needs_actual
2026-07,,CPICORE,08:30,,,,,,,needs_dt;needs_actual
2026-07,2026-07-29,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2026-09,2026-09-16,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-10,2026-10-28,FOMC,14:00,,,,,,,dt_final;needs_actual
2026-12,2026-12-09,FOMC,14:00,,,,,,,dt_final;needs_actual
