,"CBOE Volatility Index - MF2-GARCH Volatility","CBOE Volatility Index - MF2-GARCH Trend","CBOE Volatility Index - GJR-GARCH Volatility"
2016-01-04,1.4529503542791817,1.1640681474896561,1.4069268339185235
2016-01-05,1.334933607337833,1.1650156290797133,1.2934215461325824
2016-01-06,1.319125660428149,1.1654264301104553,1.2790348204798805
2016-01-07,1.8628483030026894,1.166433518036926,1.8305703045772372
2016-01-08,1.7651617602928067,1.1672934849471233,1.7503817183688821
2016-01-11,1.5919234780604248,1.1680892859708971,1.5888836080720325
2016-01-12,1.449046434038606,1.1689538553766783,1.4494939158202769
2016-01-13,1.5717846379195848,1.1691776032750543,1.568652489240367
2016-01-14,1.4318521865052969,1.1694004463826753,1.4320839542429071
2016-01-15,1.5805042220759804,1.1697890271326707,1.5762104948261193
2016-01-19,1.4389675298629916,1.1699198895650933,1.4385864937500283
2016-01-20,1.387068951422387,1.1700552602334644,1.3838352185141118
2016-01-21,1.281243616179218,1.1700940269909936,1.2737071421641633
2016-01-22,1.1965783467872049,1.1705982009212212,1.1800363231697575
2016-01-25,1.2619636698415688,1.1709973595187992,1.2357840976481287
2016-01-26,1.181206225855587,1.1714136997662268,1.14793175406903
2016-01-27,1.1337484165369316,1.1718411820720418,1.0910756087457916
2016-01-28,1.079697040840624,1.1721609121618073,1.0263098304118499
2016-01-29,1.0377273977302517,1.1727180274899844,0.9724277021969294
2016-02-01,1.005188704671914,1.1731446048974525,0.9279214061546377
2016-02-02,1.19906821323893,1.173794861123527,1.1257250303693171
2016-02-03,1.131476748324949,1.1740812203591369,1.0552886410835662
2016-02-04,1.0800357660744389,1.174299592097349,0.9984756281452242
2016-02-05,1.1491677840942114,1.1745742428641963,1.068857739832575
2016-02-08,1.3349190717043486,1.174444971890978,1.2655009917024957
2016-02-09,1.2484450168109127,1.1742694409717047,1.182398308523824
2016-02-10,1.1702079507506349,1.1739842009158385,1.1028885601002487
2016-02-11,1.212367355218706,1.1737316337221213,1.146218507964341
2016-02-12,1.1415118974412837,1.1735071435658158,1.0724735744996239
2016-02-16,1.0855888724558667,1.1733159011962635,1.0107942520612194
2016-02-17,1.0417884506942856,1.1730642642242581,0.9595799268429912
2016-02-18,1.0078111073013634,1.1728242835139457,0.9173573044348642
2016-02-19,0.9816638304429884,1.1726218623239122,0.8827836518649403
2016-02-22,0.9617148433917404,1.1725117193444166,0.8546518659664881
2016-02-23,1.1064110628514159,1.1720093361402886,1.0093764352311778
2016-02-24,1.0574601779736201,1.1713796020078204,0.9584071598230055
2016-02-25,1.0193739549350866,1.170838745515368,0.9163939676798402
2016-02-26,1.023511772282078,1.1703238013473023,0.9193089099970695
2016-02-29,1.0278110682416297,1.1698295260421494,0.923021208857088
2016-03-01,0.9965714625655302,1.1697086714220768,0.8874081338369624
2016-03-02,0.9725957433589764,1.1696242165755633,0.8584048205829228
2016-03-03,0.9540622809858904,1.1692715732454972,0.8349213974979921
2016-03-04,0.9424477534590444,1.1689188235288197,0.8188935315411888
2016-03-07,0.9538517431970231,1.168595295215585,0.8292583698703319
2016-03-08,1.0789485047952938,1.168333151117437,0.968336131722864
2016-03-09,1.0355418581592923,1.167808362703402,0.9245549697016398
2016-03-10,1.0018341419616323,1.1672861448676584,0.8886611322658373
2016-03-11,0.9760390524973886,1.1670182003722136,0.8594221640148687
2016-03-14,0.9733227666093093,1.1666647693317906,0.8551473767719808
2016-03-15,0.9538896539956809,1.1660860688645587,0.8322921362117991
2016-03-16,0.9393454827697848,1.1659128457993762,0.8138933099614469
2016-03-17,0.9282143890287415,1.16562750653886,0.7991472279874341
2016-03-18,0.9197668487176519,1.1653481522703848,0.787372869738347
2016-03-21,0.9132965980446878,1.1649933493372397,0.7780013547546045
2016-03-22,0.9293209972878047,1.1645582681858389,0.7950713628348087
2016-03-23,0.9965174740063517,1.1640104535613072,0.8719284970684236
2016-03-24,0.9711501840601174,1.1634671460767596,0.8458552429346289
2016-03-28,0.9816298161730826,1.1627771979188446,0.8591192140791638
2016-03-29,0.9596514867388056,1.1623629674073415,0.8354982872513864
2016-03-30,0.9428146731993515,1.1619223468029178,0.8164690122717457
2016-03-31,0.9517647209263433,1.1608405782018476,0.8268538806826754
2016-04-01,0.9361116664159249,1.159861224457478,0.8095284627485312
2016-04-04,1.071371817811165,1.1590697752939638,0.9617823142478759
2016-04-05,1.2091936817565663,1.158490761292467,1.1169991172780755
2016-04-06,1.1364592223216812,1.1580594388890408,1.0479815799907934
2016-04-07,1.4652631681715065,1.1578973115090994,1.3988046697091057
2016-04-08,1.3429216298801654,1.1577649813325674,1.2864846520654647
2016-04-11,1.3101563234973146,1.1576820496146598,1.25958403133733
2016-04-12,1.2172667448016479,1.157494179682991,1.1680701930962882
2016-04-13,1.1430468021914064,1.1573908708815703,1.0908321447408853
2016-04-14,1.0842936152168379,1.1572891859859402,1.0261066260384444
2016-04-15,1.0378093524342513,1.1567167968003231,0.9722592432062551
2016-04-18,1.0015873521565655,1.15610870423157,0.927782621091816
2016-04-19,0.9735512251545884,1.1554736846852032,0.8912991215074769
2016-04-20,0.9522235913901735,1.1548318786732552,0.8618390058473798
2016-04-21,1.0010261255331951,1.1542485555546518,0.9096937946364151
2016-04-22,0.9728254087964602,1.1536551079070383,0.8765336319845349
2016-04-25,1.0547150136411256,1.153189745011635,0.9633626606839191
2016-04-26,1.0141752097147712,1.1526914018938461,0.9204655126619357
2016-04-27,0.9824818715884788,1.1518864944081946,0.8853210332980913
2016-04-28,1.2008692201901088,1.1513965607035659,1.1200383868421653
