,"CBOE Volatility Index - MF2-GARCH Volatility","CBOE Volatility Index - MF2-GARCH Trend"
2016-01-04,1.4529503542791817,1.1640681474896561
2016-01-05,1.334933607337833,1.1650156290797133
2016-01-06,1.319125660428149,1.1654264301104553
2016-01-07,1.8628483030026894,1.166433518036926
2016-01-08,1.7651617602928067,1.1672934849471233
2016-01-11,1.5919234780604248,1.1680892859708971
2016-01-12,1.449046434038606,1.1689538553766783
2016-01-13,1.5717846379195848,1.1691776032750543
2016-01-14,1.4318521865052969,1.1694004463826753
2016-01-15,1.5805042220759804,1.1697890271326707
2016-01-19,1.4389675298629916,1.1699198895650933
2016-01-20,1.387068951422387,1.1700552602334644
2016-01-21,1.281243616179218,1.1700940269909936
2016-01-22,1.1965783467872049,1.1705982009212212
2016-01-25,1.2619636698415688,1.1709973595187992
2016-01-26,1.181206225855587,1.1714136997662268
2016-01-27,1.1337484165369316,1.1718411820720418
2016-01-28,1.079697040840624,1.1721609121618073
2016-01-29,1.0377273977302517,1.1727180274899844
2016-02-01,1.005188704671914,1.1731446048974525
2016-02-02,1.19906821323893,1.173794861123527
2016-02-03,1.131476748324949,1.1740812203591369
2016-02-04,1.0800357660744389,1.174299592097349
2016-02-05,1.1491677840942114,1.1745742428641963
2016-02-08,1.3349190717043486,1.174444971890978
2016-02-09,1.2484450168109127,1.1742694409717047
2016-02-10,1.1702079507506349,1.1739842009158385
2016-02-11,1.212367355218706,1.1737316337221213
2016-02-12,1.1415118974412837,1.1735071435658158
2016-02-16,1.0855888724558667,1.1733159011962635
2016-02-17,1.0417884506942856,1.1730642642242581
2016-02-18,1.0078111073013634,1.1728242835139457
2016-02-19,0.9816638304429884,1.1726218623239122
2016-02-22,0.9617148433917404,1.1725117193444166
2016-02-23,1.1064110628514159,1.1720093361402886
2016-02-24,1.0574601779736201,1.1713796020078204
2016-02-25,1.0193739549350866,1.170838745515368
2016-02-26,1.023511772282078,1.1703238013473023
2016-02-29,1.0278110682416297,1.1698295260421494
2016-03-01,0.9965714625655302,1.1697086714220768
2016-03-02,0.9725957433589764,1.1696242165755633
2016-03-03,0.9540622809858904,1.1692715732454972
2016-03-04,0.9424477534590444,1.1689188235288197
2016-03-07,0.9538517431970231,1.168595295215585
2016-03-08,1.0789485047952938,1.168333151117437
2016-03-09,1.0355418581592923,1.167808362703402
2016-03-10,1.0018341419616323,1.1672861448676584
2016-03-11,0.9760390524973886,1.1670182003722136
2016-03-14,0.9733227666093093,1.1666647693317906
2016-03-15,0.9538896539956809,1.1660860688645587
2016-03-16,0.9393454827697848,1.1659128457993762
2016-03-17,0.9282143890287415,1.16562750653886
2016-03-18,0.9197668487176519,1.1653481522703848
2016-03-21,0.9132965980446878,1.1649933493372397
2016-03-22,0.9293209972878047,1.1645582681858389
2016-03-23,0.9965174740063517,1.1640104535613072
2016-03-24,0.9711501840601174,1.1634671460767596
2016-03-28,0.9816298161730826,1.1627771979188446
2016-03-29,0.9596514867388056,1.1623629674073415
2016-03-30,0.9428146731993515,1.1619223468029178
2016-03-31,0.9517647209263433,1.1608405782018476
2016-04-01,0.9361116664159249,1.159861224457478
2016-04-04,1.071371817811165,1.1590697752939638
2016-04-05,1.2091936817565663,1.158490761292467
2016-04-06,1.1364592223216812,1.1580594388890408
2016-04-07,1.4652631681715065,1.1578973115090994
2016-04-08,1.3429216298801654,1.1577649813325674
2016-04-11,1.3101563234973146,1.1576820496146598
2016-04-12,1.2172667448016479,1.157494179682991
2016-04-13,1.1430468021914064,1.1573908708815703
2016-04-14,1.0842936152168379,1.1572891859859402
2016-04-15,1.0378093524342513,1.1567167968003231
2016-04-18,1.0015873521565655,1.15610870423157
2016-04-19,0.9735512251545884,1.1554736846852032
2016-04-20,0.9522235913901735,1.1548318786732552
2016-04-21,1.0010261255331951,1.1542485555546518
2016-04-22,0.9728254087964602,1.1536551079070383
2016-04-25,1.0547150136411256,1.153189745011635
2016-04-26,1.0141752097147712,1.1526914018938461
2016-04-27,0.9824818715884788,1.1518864944081946
2016-04-28,1.2008692201901088,1.1513965607035659
2016-04-29,1.1508055839280587,1.1509011634367219
2016-05-02,1.0889788592989305,1.1503761993365473
2016-05-03,1.1292407909741837,1.1497480958888342
2016-05-04,1.0910696036458902,1.1489292824190702
2016-05-05,1.0413349259484195,1.1479407545688063
2016-05-06,1.0022284769452523,1.1466702176301606
2016-05-09,0.9718102222141934,1.1453706596556419
2016-05-10,0.9483496633626227,1.1441657677102561
2016-05-11,1.07620148671148,1.1430074487946262
2016-05-12,1.0285110675145892,1.1417582388579468
2016-05-13,1.038392804289398,1.1405661015478235
2016-05-16,0.9987728931043333,1.1393947235264872
2016-05-17,1.0573561519185484,1.138323978487671
2016-05-18,1.0280931105692712,1.1372718355784601
2016-05-19,1.004858730369598,1.1362405643172577
2016-05-20,0.9722951403766246,1.1352857155800034
2016-05-23,0.9901596234951211,1.1342957392144255
2016-05-24,0.9607290981332876,1.1334458646093337
2016-05-25,0.9380626695482558,1.1326428545662575
2016-05-26,0.9206767054726648,1.131879016503089
2016-05-27,0.9071030503752041,1.130809511810013
2016-05-31,1.0607812498342908,1.1299521087196571
2016-06-01,1.0145836249417788,1.128990937076113
2016-06-02,0.9784982779749793,1.1279852711804352
2016-06-03,0.9505129857082437,1.1269685337222155
2016-06-06,0.9338595333346444,1.1259606138759917
2016-06-07,0.9394061102632876,1.1248099839528451
2016-06-08,0.9200768076633604,1.123661539788561
2016-06-09,0.9478276362292882,1.1224241390846867
2016-06-10,1.4327136029227894,1.1217681418189769
2016-06-13,1.996544875528722,1.121745115433983
2016-06-14,1.7790288361912518,1.1216717648224903
2016-06-15,1.597340752626064,1.1215847038899915
2016-06-16,1.4467135874111368,1.1214075280646194
2016-06-17,1.3231439921641184,1.1212151533046635
2016-06-20,1.222680421042228,1.1210600608352794
2016-06-21,1.142541608870329,1.1207479002880174
2016-06-22,1.4590047648996902,1.120813329685189
2016-06-23,1.333718108147295,1.12120324116549
2016-06-24,3.1593214081508076,1.1242801216778673
2016-06-27,2.772285439849223,1.127308144209027
2016-06-28,2.4422046842965477,1.1305204394437103
2016-06-29,2.1612190726532097,1.1335509110754576
2016-06-30,1.9236609160660305,1.1365822821071954
2016-07-01,1.7240884896083495,1.1395658962956026
2016-07-05,1.6052086967120505,1.1425504312720731
2016-07-06,1.459657070684755,1.145524440594787
2016-07-07,1.3403300205546393,1.1484484002339852
2016-07-08,1.243840173012594,1.1515635423197454
2016-07-11,1.181008015214122,1.1546128805794609
2016-07-12,1.1161386688041948,1.1568886739872597
2016-07-13,1.0647046745459512,1.1585652610017272
2016-07-14,1.0247584417803055,1.1602342125622742
2016-07-15,0.9940631529233946,1.1618928504814892
2016-07-18,0.9707132408698256,1.1635330970797522
